"White, self raising flour per 2 kg",2.264
"Brown, wholemeal flour per 2 kg",2.833
"Bread, white sliced pan, large (800g)",1.300
"Bread, brown sliced pan, large (800g)",1.396
"Spaghetti per 500g",1.090
"Sirloin steak per kg",14.320
"Striploin steak per kg",21.350
"Roast beef - topside or rib per kg",13.249
"Sliced / diced beef pieces per kg",10.618
"Pork loin chops per kg",7.559
"Pork steak per kg",9.026
"Lamb - whole leg / half leg per kg",11.391
"Lamb loin chops per kg",17.522
"Lamb gigot chops per kg",..
"Uncooked chicken medium size 1.6kg",4.569
"Lamb's liver per kg",5.918
"Ham fillet per kg",5.453
"Cooked ham per kg",18.087
"Best back rashers per kg",9.752
"Pork sausages per kg",5.930
"Fresh fillet of whiting per kg",..
"Fresh fillet of cod per kg",15.171
"Fresh salmon per kg",20.716
"Fresh fillet of plaice per kg",..
"Fresh hake per kg",13.148
"Smoked salmon per kg",31.261
"Full fat milk per 2 litre",1.706
"Low fat milk per 1 litre",1.047
"Irish cheddar per kg",9.932
"Large eggs per half dozen",1.712
"Medium eggs per half dozen",1.416
"Butter per lb",3.010
"Grapes per kg",4.951
"Bananas per kg",1.405
"Tomatoes per kg",3.077
"Onions per kg",1.076
"Broccoli per kg",2.773
"Carrots per kg",1.267
"Mushrooms per kg",3.856
"Tomatoes tinned per 400g",0.868
"Potatoes 2.5 kg",3.138
"Potatoes 7.5 kg",5.354
"Potatoes 10 kg",..
"White granulated sugar per 1 kg",1.304
"Jam per lb",1.057
"Marmalade per lb",1.991
"Tea bags per 80",2.758
"Orange juice per litre",1.381
"Whiskey - take home (70cl  bottle)",23.789
"Brandy - take home (70cl  bottle)",29.922
"Vodka - take home (70cl  bottle)",19.059
"Cream liqueur - take home (70cl  bottle)",14.652
"Wine - take home (75cl  bottle)",..
"Cider - take home (50cl can)",2.066
"Sherry - take home (75cl  bottle)",..
"Lager - take home (50cl can)",1.988
"Stout - take home (50cl can)",2.255
"Filtered cigarettes per 20 pk",11.942
"Stout - draught bar (1 pint)",4.492
"Lager - draught bar (1 pint)",4.880
"Lager - bar (33cl bottle)",4.798
"Cider - draught bar (1 pint)",4.960
"Ale - draught bar (1 pint)",4.543
"Cider - bar (33cl bottle)",4.950
"Flavoured alcoholic drink - bar (275ml bottle)",5.469
"Whiskey - bar (single) per ½  glass",4.321
"Brandy - bar (single) per ½  glass",4.767
"Vodka - bar (single) per ½  glass",4.355
"Wine - bar (187ml bottle)",..
"Diesel per litre",1.261
"Petrol - unleaded per litre",1.364
"Cinema fee",9.669
"Nightclubs fee",9.164
"Gent's dry cut fee",12.454
"Gent's wash, cut, and blow dry fee",..
"Ladies' wash, cut and blow dry fee",39.621
