Food Name (all units are per euro),Energy (kcal),Carbs (g),Protein (g),Fat (g),Fibre (g),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Manganese (mg),Selenium (ug),Iodine (ug),Vitamin D (ug),Vitamin K (ug),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B6 (mg),Folate (ug) ,Biotin (ug),Vitamin C (mg) ,Vitamin A (ug),Vitamin E (mg),Pantothenic acid (mg),Vitamin B12 (ug)
"White, self raising flour",3.074204947,703.180212,78.62190813,13.25088339,35.33568905,1678.44523,2473.498233,220.8480565,4090.106007,15.37102473,1.060070671,7.067137809,7.4204947,26.50176678,0,0,0,2.473498233,0.441696113,15.01766784,1.590106007,159.0106007,15.90106007,0,0,5.565371025,3.886925795,0
"Brown, wholemeal flour",2.308506883,493.46982,81.89198729,14.11930815,71.30250618,2527.35616,225.9089305,585.9512884,1983.762796,17.43734557,2.612072008,13.41334275,14.11930815,35.29827038,0,0,0,2.541475468,0.705965408,35.29827038,3.529827038,190.6106601,50.82950935,0,0,4.871161313,6.989057536,0
"Bread, white sliced pan",1.452307692,299.6923077,53.53846154,12.92307692,17.84615385,824.6153846,953.8461538,135.3846154,590.7692308,9.230769231,0.861538462,4.307692308,3.015384615,43.07692308,0,0,0,1.353846154,0.430769231,9.846153846,0.430769231,178.4615385,0,0,0,0.492307692,0,0
"Bread, brown sliced pan",1.243553009,240.6876791,53.86819484,14.32664756,40.11461318,1449.856734,607.4498567,378.2234957,1157.593123,13.75358166,1.318051576,9.169054441,10.0286533,40.11461318,0,0,11.46131805,1.432664756,0.286532951,21.7765043,0.630372493,229.226361,36.10315186,0,0,1.604584527,3.610315186,0
Spaghett,0.646788991,144.4954128,20.18348624,2.752293578,7.798165138,188.0733945,123.853211,96.33027523,302.7522936,2.889908257,0,2.293577982,1.513761468,36.69724771,0,0,0.229357798,0.366972477,0.04587156,4.128440367,0.04587156,36.69724771,4.587155963,0,0,0.504587156,0.917431193,0
Sirloin steak,0.122905028,0,18.57541899,5.377094972,0,258.3798883,4.888268156,16.75977654,153.6312849,0.977653631,0,3.002793296,0,6.983240223,9.078212291,0.349162011,0,0.048882682,0.111731844,4.818435754,0.405027933,9.776536313,1.396648045,0,0,0.01396648,0.446927374,1.396648045
Roast beef - topside or rib,0.13208544,0,24.30372104,3.849347121,0,294.3618386,3.773869726,18.86934863,173.5980074,1.886934863,0.052834176,4.226734093,0.015095479,7.547739452,6.792965507,0.301909578,0,0.045286437,0.241527662,4.075779304,0.40757793,10.56683523,1.50954789,0,0,0.030190958,0.41512567,1.50954789
Sliced / diced beef pieces,0.196835562,0,20.53117348,12.71425881,0,197.7773592,18.83593897,14.12695423,141.2695423,2.542851761,0.094179695,4.708984743,0.018835939,6.59257864,13.18515728,0.753437559,6.762102091,0.028253908,0.17894142,4.332265963,0.263703146,16.01054813,4.708984743,0,8.476172537,0.320210963,0.339046901,1.883593897
Pork loin chops,0.339992062,0,38.36486308,20.76994311,0,515.9412621,18.52096838,34.39608414,304.273052,0.926048419,0.105834105,2.910437889,0.026458526,22.48974732,3.968778939,1.455218944,0,0.926048419,0.224897473,10.84799577,0.648233893,7.937557878,6.614631565,0,0,0.026458526,1.587511576,1.322926313
Pork steak,0.219366275,0,35.89629958,8.420119654,0,509.6388212,8.863283847,35.45313539,310.2149346,1.218701529,0.110791048,2.991358298,0.02215821,22.15820962,5.539552404,0.997119433,0,1.606470197,0.29913583,10.08198538,0.753379127,8.863283847,5.539552404,0,0,0.02215821,2.315532905,1.107910481
Lamb - whole leg / half leg,0.182600298,0,27.47783338,8.076551664,0,307.2601176,7.023088403,23.70292336,201.9137916,2.019137916,0.114125187,4.213853042,0.008778861,3.511544202,5.267316302,0.52673163,0,0.114125187,0.237029234,6.057413748,0.263365815,2.633658151,2.633658151,0,0,0.035115442,1.316829076,2.633658151
Lamb loin chops,0.204885287,0,16.60769319,15.35212875,0,211.1631092,11.41422212,15.40919986,131.2635544,1.198493323,0.062778222,2.625271088,0.005707111,2.282844424,3.424266636,0.342426664,0,0.079899555,0.176920443,3.424266636,0.165506221,2.85355553,1.141422212,0,4.565688848,0.062778222,0.770459993,1.712133318
Chicken,0.763405559,0,92.09892756,43.77325454,0,1120.595316,38.520464,91.04836945,770.4092799,2.451302254,0.315167433,5.252790545,0.070037207,52.52790545,24.51302254,1.050558109,0,0.245130225,0.525279054,30.46618516,1.190632524,31.51674327,10.50558109,0,63.03348654,0.735390676,4.517399869,0
